user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
itsnastynaz,6.545660774398825e+18,6.932193658632457e+18,bAg It Up............💀 #foryou #bagitup,1614027122.0,15.0,https://www.tiktok.com/@itsnastynaz/video/6932193658632457477?lang=en,73900.0,73.0,317.0,843700.0
itsnastynaz,6.545660774398825e+18,6.932120914943315e+18,Peeing Prank On Big Brother 😂 @tinysavage_ @itsavage #foryou #prank #prankwars,1614010187.0,8.0,https://www.tiktok.com/@itsnastynaz/video/6932120914943315206?lang=en,66500.0,76.0,293.0,413700.0
itsnastynaz,6.545660774398825e+18,6.931920056079224e+18,That’s On Throwing Change 😡,1613963427.0,12.0,https://www.tiktok.com/@itsnastynaz/video/6931920056079224070?lang=en,84300.0,84.0,507.0,510200.0
itsnastynaz,6.545660774398825e+18,6.931787614403956e+18,He Was Being Rude 😡,1613932581.0,19.0,https://www.tiktok.com/@itsnastynaz/video/6931787614403955973?lang=en,128200.0,77.0,2644.0,721600.0
itsnastynaz,6.545660774398825e+18,6.931591221253115e+18,Hiding $50 Under Sandwich For Homeless Person ❤️ God Bless Him 🙏☺️ #homeless,1613886876.0,19.0,https://www.tiktok.com/@itsnastynaz/video/6931591221253115142?lang=en,132300.0,366.0,1484.0,790300.0
itsnastynaz,6.545660774398825e+18,6.931396247672606e+18,Creamy Toothpaste Prank 😋 @itsavage,1613841458.0,18.0,https://www.tiktok.com/@itsnastynaz/video/6931396247672605957?lang=en,97400.0,156.0,539.0,676700.0
itsnastynaz,6.545660774398825e+18,6.93113741235356e+18,What Would You Do ? KEEP them 🥺 Or Give Them Back ❤️ Glad She Was Honest ☺️ HER PRIZE Arrived 🎁❤️,1613781198.0,36.0,https://www.tiktok.com/@itsnastynaz/video/6931137412353559813?lang=en,416500.0,552.0,2159.0,4700000.0
itsnastynaz,6.545660774398825e+18,6.930723409852714e+18,He Said Out In A Bag 🤷🏻‍♂️@mh_smiley21,1613684804.0,22.0,https://www.tiktok.com/@itsnastynaz/video/6930723409852714245?lang=en,230900.0,273.0,1427.0,2100000.0
itsnastynaz,6.545660774398825e+18,6.930677442835172e+18,Was I Wrong 👀,1613674099.0,12.0,https://www.tiktok.com/@itsnastynaz/video/6930677442835172613?lang=en,335800.0,421.0,2127.0,4200000.0
itsnastynaz,6.545660774398825e+18,6.930574181293755e+18,He Came Back For More 😡,1613650072.0,23.0,https://www.tiktok.com/@itsnastynaz/video/6930574181293755654?lang=en,575300.0,774.0,20300.0,7500000.0
